MAL_ID,Name,Score
,,
52034,"""Oshi no Ko""",8
,,
36793,3D Kanojo: Real Girl,7
,,
37956,3D Kanojo: Real Girl 2nd Season,8
,,
38101,5-toubun no Hanayome,5
,,
39783,5-toubun no Hanayome ∬,7
,,
48548,5-toubun no Hanayome Movie,6
,,
49520,Aharen-san wa Hakarenai,6
,,
34881,Aho Girl,5
,,
36864,Akkun to Kanojo,6
,,
6547,Angel Beats!,6
,,
9062,Angel Beats! Specials,6
,,
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,6
,,
40295,Another World,6
,,
24833,Ansatsu Kyoushitsu,8
,,
30654,Ansatsu Kyoushitsu 2nd Season,8
,,
38464,Ashita Sekai ga Owaru toshitemo,0
,,
37171,Asobi Asobase,3
,,
6347,Baka to Test to Shoukanjuu,6
,,
8516,Baka to Test to Shoukanjuu Ni!,6
,,
9471,Baka to Test to Shoukanjuu: Matsuri,6
,,
5081,Bakemonogatari,7
,,
22789,Barakamon,6
,,
9513,Beelzebub,4
,,
34618,Blend S,7
,,
47917,Bocchi the Rock!,8
,,
49834,Boku ga Aishita Subete no Kimi e,6
,,
31964,Boku no Hero Academia,6
,,
33486,Boku no Hero Academia 2nd Season,5
,,
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,5
,,
40904,Bokutachi no Remake,8
,,
38186,Bokutachi wa Benkyou ga Dekinai,7
,,
40004,Bokutachi wa Benkyou ga Dekinai!,7
,,
42519,Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,6
,,
39819,Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,5
,,
50549,Bubble,8
,,
1689,Byousoku 5 Centimeter,3
,,
10012,Carnival Phantasm,5
,,
37435,Carole & Tuesday,0
,,
28999,Charlotte,9
,,
31553,Charlotte: Tsuyoimono-tachi,6
,,
14741,Chuunibyou demo Koi ga Shitai!,8
,,
35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,9
,,
18671,Chuunibyou demo Koi ga Shitai! Ren,8
,,
2167,Clannad,7
,,
4181,Clannad: After Story,10
,,
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",5
,,
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",8
,,
8142,Colorful (Movie),4
,,
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,5
,,
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,5
,,
11843,Danshi Koukousei no Nichijou,8
,,
